CODIGO,AÑO,NOMBRE DEL INTERCAMBIO,EJE TEMATICO,ODS PRINCIPAL,ORIGEN COOPERANTE,COOPERANTE PRINCIPAL,OBJETIVO,BUENA PRACTICA,TERRITORIO BUENA PRACTICA
COL017,2017,"Los valores culturales étnicos, reflejados en los productos artesanales como apuesta de valor diferenciado e impulso del desarrollo local",Comercio,12: Producción y consumo responsables,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,,,
COL018,2017,Asistencia técnica para el desarrollo territorial integral y sostenible,"Paz, seguridad pública, nacional y defensa",10: Reducción de las desigualdades,Estados Unidos,USAID,,,
COL019,2017,Veedores ciudadanos – control social participativo,Participación política y sociedad civil,"16: Paz, justicia e instituciones solidas",Estados Unidos,USAID,,,
COL020,2017,Fortalecimiento de capacidades para la planeación integral del territorio,Fortalecimiento de instituciones y políticas publicas,"16: Paz, justicia e instituciones solidas",Estados Unidos,USAID,,,
COL021,2017,Presupuestos participativos para la construcción de paz,Gestión de finanzas publicas,"16: Paz, justicia e instituciones solidas",Estados Unidos,USAID,,,
COL022,2017,Intercambio de conocimientos en vías terciarias “Generando caminos para la Paz”,"Paz, seguridad pública, nacional y defensa","9: Industria, innovación e infraestructura",Estados Unidos,USAID,,,
COL023,2018,"Intercambio de saberes y experiencias en materia de turismo comunitario Quibdó, Nuquí y Bahía Solano (Chocó)",Turismo,14: Vida submarína,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,,,
COL024,2018,Artesanos Tejedores de Paz – La Resiliencia como apuesta en el emprendimiento artesanal.,"Paz, seguridad pública, nacional y defensa",11: Ciudades y comunidades sostenibles,Estados Unidos,USAID,,,
COL025,2018,Fortalecimiento de capacidades de gestión a las Juntas de Acción Comunal para la realización de Pequeñas Obras de Infraestructura Comunitaria (PIC),Fortalecimiento de instituciones y políticas publicas,"16: Paz, justicia e instituciones solidas",Estados Unidos,USAID,,,
COL026,2018,Empoderamiento de mujeres víctimas como una apuesta a la construcción de paz en los territorios,"Paz, seguridad pública, nacional y defensa",5: Igualdad de género,Estados Unidos,USAID,,,
COL027,2018,"Estrategia de gestores de paz y cultura ciudadana, Santiago de Cali.","Paz, seguridad pública, nacional y defensa",10: Reducción de las desigualdades,,,,,
COL028,2019,Fortalecimiento asociativo para organizaciones sociales comunitarias y productivas rurales en cacao y café,Participación política y sociedad civil,8: Trabajo decente y crecimiento económico,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,,,
COL029,2019,Hacia el cierre de brechas para la inclusión laboral,Empleo,1: Fin de la pobreza,Canadá,Embajada de Canadá,,,
COL030,2019,"Transferencia de educación financiera rural con enfoque de género en el municipio de Segovia, departamento de Antioquia.",Educación,5: Igualdad de género,Canadá,Embajada de Canadá,,,
COL031,2019,"La Etnoeducación, una estrategia pedagógica para leer el pasado y escribir el futuro",Educación,4: Educación de calidad,,,,,
COL032,2019,"Planes, inventarios y categorización de vías terciarias",Construcción,"9: Industria, innovación e infraestructura",Estados Unidos,USAID,,,
COL033,2020,"Modelo de atención humanizada, Mis Manos Te Enseñan y acciones de prevención y atención de violencias hacia niñas, niños y adolescentes en el marco de la emergencia Covid-19",Otros servicios y políticas sociales,"16: Paz, justicia e instituciones solidas",Multilateral,UNICEF,,,
COL034,2020,Educación Inicial en el marco de la atención integral con enfoque territorial y acciones territoriales para garantizar el derecho/Atención integral en el marco del covid-19 (TAN 2),Educación,4: Educación de calidad,Multilateral,UNICEF,,Alcaldía de Barranquilla - Educación Inicial en el Marco de la Atención Integral con Enfoque Territorial,Atlántico
COL035,2020,"Fortalecimiento de capacidades de organizaciones étnico-territoriales, incidencia y construcción de paz.",Fortalecimiento de instituciones y políticas publicas,5: Igualdad de género,Alemania,GIZ,,,
COL036,2020,Experiencias locales de coordinación y gestión de la cooperación internacional,Fortalecimiento de instituciones y políticas publicas,17: Alianzas para lograr los objetivos,Colombia,APC Colombia,Fortalecer los mecanismos de participación y de incidencia de las plataformas departamentales y Distritales de juventudes en la toma de decisiones públicas para garantizar sus derechos y promover oportunidades para los jóvenes.,Mesa departamental de juventud Chocó,Chocó
COL037,2021,Compartiendo experiencias y aprendizajes alrededor de la cadena del café,Agropecuario,2: Hambre cero,Multilateral,FAO,"Generar una red de relacionamiento, conocimiento y experiencias alrededor de los procesos de beneficio, calidad y comercialización de café entre diferentes actores interesados.","Asociación cafetera de Caldono, Un grano para la Paz",Cauca
COL038,2021,Comunidades Tejiendo redes para la conservación,Medioambiente,15: Vida de ecosistemas terrerstres,Multilateral,PNUD,,,
COL039,2021,Apropiación comunitaria de sistemas de acueductos locales,Abastecimiento y saneamiento de agua,6: Agua limpia y saneamiento,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,,,
COL040,2021,Salud y Nutrición “Bien Nacer”: experiencias orientadas a la disminución del bajo peso al nacer (TAN 3),Salud,3: Salud y bienestar,Multilateral,UNICEF,"Fortalecer las capacidades en acciones orientadas a la prevención del Bajo Peso al Nacer - BPN con Enfoque Territorial en los servidores públicos de la Gobernación de Cundinamarca y las alcaldías de Pasto (Nariño), Saravena (Arauca), y Dibulla (La Guajira). El intercambio se dirigió a los funcionarios de las secretarías de salud, profesionales técnicos responsables de los temas de nutrición y seguridad alimentaria, profesionales técnicos responsables de los temas de salud materno infantil, y responsable de banco de proyectos de la Gobernación de Cundinamarca, y las alcaldías de Dibulla (La Guajira), Saravena (Arauca), Pasto (Nariño).",Alcaldía de Pasto: “Implementación de estrategias para la disminución del bajo peso al nacer en niños y niñas “Bien Nacer”.,Nariño
COL041,2021,La Denominación de Origen como herramienta de desarrollo territorial,Otros servicios y políticas sociales,8: Trabajo decente y crecimiento económico,Suiza,Cooperación Suiza,"Promover la apropiación de prácticas en temas de uso y aprovechamiento de la DO para la comercialización, visibilización y defensa de los productos agropecuarios y artesanales, con la participación de las entidades delegadas de las denominaciones de origen del Huila y de la DO de Bocadillo Veleño – Santander.",DO de Bocadillo Veleño – Santander,Santander
COL042,2021,Diálogos e intercambios por la memoria,Cultura,"16: Paz, justicia e instituciones solidas",España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,"Construcción de fortalecimiento de iniciativas de memoria que potenciara los procesos de trabajo en red, así como las agendas nacionales de construcción de paz.","Casa de la Memoria de Tumaco en Nariño y Centro de Acercamiento y Reconciliación – CARE en San Carlos, Antioquia.",Antioquia
COL043,2021,Fortalecimiento de capacidades en la implementación del programa de alimentación escolar en contextos rurales dispersos y con enfoque diferencial,Otros servicios y políticas sociales,2: Hambre cero,Multilateral,Programa Mundial de Alimentos,"Fortalecer los conocimientos y capacidades administrativas, técnicas, operativas – logísticas , los Mecanismos de Seguimiento y de gestión relativos a la implementación directa del Programa de Alimentación Escolar PAE en los actores responsables de los procesos de implementación del programa en los Departamentos del Chocó, Cesar, Nariño, Cauca, Sucre, Vichada, Putumayo, Amazonas, Guainía y Huila .",Gobernación de Caldas experiencia en la implementación de una Bolsa Común para el Programa de Alimentación Escolar,Caldas
COL044,2022,Encuentros Subregionales de Intercambios de Experiencias entre Organizaciones en Territorios PDET,Participación política y sociedad civil,"16: Paz, justicia e instituciones solidas",,,"Contribuir al fortalecimiento de capacidades para la gobernanza de las organizaciones y de jóvenes de los municipios PDET a través de la socialización, reciprocidad y adopción de buenas prácticas",Organización campo dulce del Bajo Cauca y Organización Lel juvenil de Antioquia,Antioquia
COL045,2022,Relacionamiento con el Sector Privado ¿Cómo se relacionan los Gobiernos de los Estados Unidos y Colombia con el sector privado?,Fortalecimiento de instituciones y políticas publicas,"16: Paz, justicia e instituciones solidas",Estados Unidos,USAID,"Promover un intercambio de conocimientos y experiencias fomentando el involucramiento del sector privado en proyectos de desarrollo, entre entidades del Gobierno de Colombia (nacional y departamental) y USAID/Colombia.",Programa de Alianzas Para la Reconciliación (PAR) de USAID/Colombia,Nacional
COL046,2022,Semillas y acciones colaborativas para una mejor rendición de cuentas,Fortalecimiento de instituciones y políticas publicas,"16: Paz, justicia e instituciones solidas",Alemania,GIZ,Creación de Acuerdos colaborativos o iniciativas de innovación pública que permita mejorar procesos de carácter público entre actores institucionales y comunitarios.,Programa Paz Comunal,Caquetá
COL047,2022,Acompañamiento psicosocial con enfoque feminista y centralidad en las víctimas.,Educación,5: Igualdad de género,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,"Fortalecer los saberes y prácticas relacionadas con el acompañamiento psicosocial con enfoque étnico, de género y feminista a mujeres víctimas de violencias, de organizaciones de la sociedad civil de los departamentos de Chocó, Cauca,Guajira y Nariño.",Nacional,Nacional
COL048,2022,"Participamos, incidimos y construimos: Niñas, niños y adolescentes diseñan parques infantiles en Inzá (TAN 4)",Participación ciudadana,11: Ciudades y comunidades sostenibles,Multilateral,UNICEF,"Generar capacidades en el ciclo de la gestión pública que garantice la participación de niños, niñas y adolescentes, a partir de la transferencia de experiencias del ámbito local, nacional e internacional, en el marco de los Intercambios Col-Col y de la Estrategia Territorios Amigos de la Niñez TAN.",Alcaldía Municipal de Inzá,Cauca
COL049,2022,Acompañamiento jurídico feminista y con centralidad en las víctimas,Educación,5: Igualdad de género,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,"Fortalecer los saberes y prácticas relacionadas con el acompañamiento jurídico con enfoque étnico, de género y feminista amujeres víctimas de violencias, de organizaciones de la sociedad civil de los departamentos de Chocó,Cauca,Guajira y Nariño",Nacional,Nacional
COL050,2022,¿Cómo fortalecer capacidades locales en administración de tierras a tráves de una oficina municipal?,Fortalecimiento organizacional,10: Reducción de las desigualdades,Estados Unidos,USAID,Promover espacios de intercambio de conocimientos para el fortalecimiento de administración de tierras a través de la estrategia de Oficinas Municipales de Tierras entre entidades territoriales municipales.,,
COL051,2022,Encuentro de intercambio de experiencias en Buenas Prácticas en gobernanza entre organizaciones de municipios PDET,Gobernanza de las organizaciones y de jóvenes de los municipios PDET,10: Reducción de las desigualdades,,,,,
COL052,2022,Estrategia por la niñez: servicios de atención a la población migrante (TAN 5),"Prevención de Violencias hacia niños, nñas y adolesscentes","16: Paz, justicia e instituciones solidas",Multilateral,UNICEF,"Generar capacidades en el ciclo de la gestión pública que garantice la participación de niños, niñas y adolescentes, a partir de la transferencia de experiencias del ámbito local, nacional e internacional, en el marco de los Intercambios Col-Col y de la Estrategia Territorios Amigos de la Niñez TAN.",Secretaría Distrital de Integración Social,Bogotá D.C.
COL053,2022,"Estrategias de Recuperación Emocional y Acompañamiento a la Reparación Integral, como fortalecmiento a la política pública de víctimas en la implementación y acceso a las medidas de la reparación simbólica",Construcción de Paz,"16: Paz, justicia e instituciones solidas",Alemania,GIZ,"Propiciar el fortalecimiento local en seis (6) municipios PDET, a través de la apropiación de las Estrategias de Recuperación Emocional y Acompañamiento a la Reparación Integral desarrolladas por la Unidad, promoviendo la implementación de medidas de rehabilitación, satisfacción y garantías de no repetición que sean lideradas por las entidades territoriales",Estrategias de Recuperación Emocional y Acompañamiento a la Reparación Integral de Belén de los Andaquíes,Caquetá
COL054,2023,Estrategias de incidencia y comunicación comunitaria para la prevención de VBG,Género,5: Igualdad de género,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,"Fortalecer los saberes y prácticas relacionadas con la incidencia política feminista y de género y feminista a mujeres víctimas de violencias, de organizaciones de la sociedad civil de los departamentos de Chocó,Cauca,Guajira y Nariño.",Fuerza Mujeres Wayúu,La Guajira
COL055,2023,"Implementación del enfoque de género y el fortalecimiento de dependencias especializadas en el tema de género, con mirada la construcción de un trabajo de interlocución y articulación",Género,5: Igualdad de género,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,"Fortalecer los saberes y prácticas relacionadas con la implementación del enfoque de género y el fortalecimiento de dependencias especializadas en el tema de género,con miras a la construcción de un trabajo de interlocución y articulación en los departamentos de Chocó, Cauca,Guajira y Nariño","Secretaría de la Mujer, Equidad de Género y Diversidad Sexual del departamento de Valle del Cauca",Valle del Cauca
COL056,2023,"La Denominación de Origen, al corazón del desarrollo turístico",Turismo,11: Ciudades y comunidades sostenibles,Suiza,Embajada Suiza,"Mostrar cómo la DO (o las DO) de un territorio específico puede ser utilizada como herramienta de valorización cultural, histórica, económica y sobre todo turística, tanto por parte de los productores mismos, como por parte de las entidades públicas regionales y nacionales.",Denominación de origen del Sombrero Aguadeño,Caldas
COL057,2023,Gestión pública transparente y participativa para la construcción de paz con enfoque de género,Fortalecimiento de instituciones y políticas publicas,5: Igualdad de género,Alemania,GIZ,"Fortalecer las estrategias de gestión pública transparente en 20 municipios PDET del país a través del intercambio de conocimientos, promoviendo la implementación de acciones enfocadas en rendición de cuentas, acceso a la información y participación ciudadana con enfoque de género para la construcción de paz",Alcaldía de Morelia,Caquetá
COL058,2023,"Reflexión Colaborativa para la modelación de sistemas de alerta temprana, ordenamiento territorial y desarrollo de capacidades para la gestión integral del riesgo",Gestión de desastres,"9: Industria, innovación e infraestructura",Reino Unido,GOAL,"Promover el desarrollo territorial y humano en asentamientos informales en una acción colaborativa y de aprendizaje entre municipios, el sector privado y comunidades urbanas organizadas basado en el compromiso de país en la contribución de los ODM y ODS, en el conocimiento local y metodologías participativas para la modelación de sistemas de alerta temprana, ordenamiento territorial y desarrollo de capacidades para la gestión integral del riesgo.",Sistema de Alerta Temprana del valle de Aburrá,Antioquia
COL059,2023,Buenas prácticas en la implementación de las casas de acogida para la mejora de la atención y protección de mujeres y niñas víctimas de VBG,Género,5: Igualdad de género,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,,,
COL060,2023,Relacionamiento Interinstitucional con enfoque de género,Educación,5: Igualdad de género,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,,,
COL061,2023,Fortalecimiento a la gobernanza territorial en organizaciones de jóvenes con enfoque étnico,"Paz, seguridad pública, nacional y defensa","16: Paz, justicia e instituciones solidas",Italia,COSPE,"Fortalecer las capacidades de los y las jóvenes de estos departamentos priorizados, en el manejo, conservación y gobernanza de sus territorios, con un enfoque transversal de género e intercultural promoviendo la gestión del conocimiento para su apropiación y adaptación, mediante la realización de un intercambio y de la sistematización de buenas prácticas.","Cabildo Nasa Nueva Palestina, municipio San Miguel Putumayo, en articulación con la Asociación AMPII CANKE y Resguardo Nasa Iquira, municipio de Río Negro, departamento del Huila",Putumayo Huila
COL062,2024,Experiencias y prácticas de jóvenes en la construcción de paz para el desarrollo municipal,Participación política y sociedad civil,"16: Paz, justicia e instituciones solidas",Alemania,GIZ,"Promover y fortalecer la organización juvenil para la incidencia social y política en escenarios de construcción de paz, fortaleciendo procesos, organizaciones e iniciativas juveniles de municipios PDET de los departamentos del Meta, Caquetá y Norte de Santander, en el marco del intercambio de experiencias",Cuarto Mosquetero Medio; Camaxagua Colectivo; Fundación Nido del Fénix y Jóvenes Sureños,Meta Norte de Santander Caquetá
COL063,2024,"Palabra dulce – tejido sano: encuentro para tejernos y cuidar la vida en el diálogo intercultural entre pensamiento indígena con los pueblos Nassa, Barí, Koreguaje, Murui Muina e Ingas e instituciones públicas","Paz, seguridad pública, nacional y defensa","16: Paz, justicia e instituciones solidas",Alemania,GIZ,"Fortalecer la implementación de los procesos de sanación espiritual y recuperación emocional de las comunidades étnicas por parte de las entidades que misionalmente deben garantizar el acompañamiento a las comunidades étnicas desde el enfoque psicosocial, a través, del conocimiento y apropiación de las recomendaciones realizadas por las comunidades que reconozcan e incluyan sus prácticas, usos y costumbres para la sanación.",Pueblo Bari: Ñatubiayibarí; Resguardo Catalaura. Pueblo Nasa Mesetas: Resguardo Villa Lucia; Resguardo Ondas del Cafre; Cabildo Sol Naciente. Comunidad Jaeni Diona del Pueblo Murui Muina. Pueblo Koreguaje Caquetá. Pueblo Inga Caquetá.,Meta Norte de Santander Caquetá
COL064,2024,Acceso a la justicia temprana,Género,5: Igualdad de género,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,"Fortalecer los saberes y prácticas relacionadas con la construcción de alianzas interinstitucionales y promover estrategias de atención temprana a mujeres víctimas de violencias basadas en género, tomando como base la experiencia de la Agencia 123 Mujer de la ciudad de Medellín, en los departamentos de Chocó, Cauca, Valle del Cauca, Guajira y Nariño, en las Secretarías de la Mujer de cada territorio","Secretaría de las Mujeres de Medellín, con la estrategia Agencia 123 Mujer",Antioquia
COL065,2024,Economía circular en la gestión de municipios y ciudades - caso orgánicos,Fortalecimiento de instituciones y políticas publicas,11: Ciudades y comunidades sostenibles,Alemania,GIZ,"Generar diálogos entre municipalidades, gobierno nacional, academia y sector privado, que permita identificar retos, puntos en común y concretar de forma conjunta las actividades y oportunidades de trabajo para la gestión de la fracción orgánica de los residuos sólidos urbanos en el país",Universidad de Antioquia: prototipos en campus y experiencia con municipios CORNARE: experiencia en La Ceja; Mirinilla y Santuario Gob. de Antioquia: política de crecimiento verde y estrategia de economía circular departamental EPM/EMVARIAS: retos en la gestión de la fracción orgánica de los residuos sólidos urbanos en el distrito de Medellín,Antioquia
COL066,2024,Experiencias de incidencia de NNAJ en cambio climático,Medioambiente,13: Acción por el clima,Multilateral,UNICEF,"Fortalecer procesos participativos de incidencia territorial en cambio climático liderados por niñas, niños, adolescentes y jóvenes en el marco de la ruta hacia la COP 16 y 17 de biodiversidad y COP 29 de cambio climático","LCOY - Cumbre nacional de niñeces, juventudes y adolescencias",Nacional
COL067,2024,Gestión del conocimiento para la implementación de sistemas de cuidado en el país,Género,5: Igualdad de género,Multilateral,Banco Interamericano de Desarrollo - BID,Compartir buenas prácticas con relación al desarrollo e implementación de los Sistemas de Cuidado en el país.,Sistema Distrital del Cuidado de Bogotá,Bogotá D.C.
COL068,2025,Territorios que cuidan: diálogos entre saberes comunitarios y voces de la niñez hacia la acción fronteriza,Desarrollo legal y judicial y DDHH,10: Reducción de las desigualdades,,,"Contribuir a la prevención de la Explotación Sexual y Comercial de Niñas, Niños y Adolescentes (ESCNNA) y la trata de personas con fines de explotación sexual, fortaleciendo los conocimientos sobre la Ruta Amazónica en prevención de ESCNNA, a través de espacios de capacitación a la institucionalidad, la red de mujeres de Protectoras Semillas de Vida que hace parte de la Asociación Ticoya en los municipios de Leticia y Puerto Nariño en el departamento de Amazonas.",Fundación Renacer,Amazonas
COL069,2025,Oportunidades que conectan territorios: cooperación internacional al alcance local,Fortalecimiento de instituciones y políticas publicas,"16: Paz, justicia e instituciones solidas",,,"Fortalecer las capacidades técnicas en la gestión y administración de cooperación internacional, dirigida a gobiernos departamentales y territoriales en el marco del Sistema Nacional de Cooperación Internacional.",Chocó: Política Pública Guaviare: Planeación Sucre: Gestión de Proyectos (Koica) Caquetá:Articulación y gobernanza,Chocó Guaviare Sucre Caquetá
COL070,2025,"Sustitución de cultivos de uso ilícito - Programa RenHacemos: Asociatividad, gerencia rural y negocios verdes del cacao para la construcción de paz","Paz, seguridad pública, nacional y defensa",12: Producción y consumo responsables,Multilateral,UNODC,"Fortalecer las capacidades de las comunidades beneficiarias de RenHacemos, a partir del intercambio de conocimientos y buenas prácticas entre organizaciones productoras, centrado en los ejes de gerencia rural, desarrollo de cadenas de valor y modelos de negocios verdes sostenibles, con el propósito de contribuir a la transformación territorial integral y sostenible, la reconstrucción del tejido social en comunidades beneficiarias por las estrategias de sustitución de cultivos de uso ilícito y tránsito a economías legales",AFROMUVARAS ASOCAVAL ASOMUTCA,Valle del Cauca Antioquia Catatumbo
COL071,2025,Rutas que cuentan historias: “Saberes y memorias compartidas desde el turismo comunitario”,"Paz, seguridad pública, nacional y defensa",10: Reducción de las desigualdades,Alemania,GIZ,"Promover el intercambio de saberes, experiencias, aprendizajes y metodologías entre Lugares de Memoria ubicados en los departamentos del Meta, Norte de Santander y Caquetá, con el fin de generar procesos para su apropiación y fortalecimiento desde los conocimientos propios desarrollados en la creación, construcción, apropiación de dichos espacios y turismo replicable y sostenible.","Ruta turística de memoria de Florencia Museo Caquetá Bosque de la Memoria está ubicado en San José del Fragua,","Florencia, Caquetá"
COL072,2025,Saberes que Transforman: Intercambio de Conocimientos en iniciativas productivas con enfoque en Negocios Verdes para la Sostenibilidad y Desarrollo Rural en torno a la cadena de valor de café para las comunidades del Programa RenHacemos.,"Paz, seguridad pública, nacional y defensa",12: Producción y consumo responsables,Multilateral,UNODC,"Fortalecer las capacidades de las comunidades beneficiarias de RenHacemos, a partir del intercambio de conocimientos y buenas prácticas entre organizaciones productoras, centrado en los ejes de gerencia rural, desarrollo de cadenas de valor y modelos de negocios verdes sostenibles en torno a la cultura del café, con el propósito de contribuir a la transformación territorial integral y sostenible, la reconstrucción del tejido social en comunidades beneficiarias por las estrategias de sustitución de cultivos de uso ilícito y tránsito a economías legales","Café Women Sierra Nevada de Santa Marta, emprendimiento de mujeres. COOAGRONEVADA. Asociación Guardabosques De La Sierra, iniciativa de negocio verde Café Paz silenciosa, Biceño, Antioquia ASOPROA, Argelia, Cauca Federación de Cafeteros de Abades de Samaniego – Nariño",Magdalena Cauca Nariño Antioquia
COL073,2026,"Juventudes que tejen cultura de paz: redes, economías populares y transformación territorial para la prevención de las violencias","Paz, seguridad pública, nacional y defensa","16: Paz, justicia e instituciones solidas",Alemania,GIZ,"Fortalecer las capacidades de liderazgo, iniciativas de memoria histórica y organización juvenil por medio de la promoción de alianzas entre los sectores público-privados, articulación con instituciones del SIPAZ-SNARIV, economías populares y esquemas asociativos en la construcción de una cultura de paz y prevención de las violencias juveniles.",Programa Forjar Oportunidades de la Fundación SIDOC,"Cali, Valle del Cauca"
COL074,2026,Financiación Basada en Resultados como buena práctica para mejorar la eficiencia del gasto público y la movilización de recursos para el desarrollo territorial,Fortalecimiento de instituciones y políticas publicas,"16: Paz, justicia e instituciones solidas",Multilateral,Banco Interamericano de Desarrollo,"Compartir y transferir la experiencia de la Alcaldía de Bogotá y de MAS Pago por Resultados que evidencia la financiación basada en resultados como buena práctica de eficiencia del gasto público y movilización de recursos, fortaleciendo capacidades técnicas de entidades territoriales de Cali, Cúcuta, Bucaramanga, Cartagena y Barranquilla.",Secretaría Distrital de Desarrollo Económico,Bogotá D.C.
