CODIGO,AÑO,NOMBRE DEL INTERCAMBIO,EJE TEMATICO,ODS PRINCIPAL,ORIGEN COOPERANTE,COOPERANTE PRINCIPAL
COL018,2017,Asistencia técnica para el desarrollo territorial integral y sostenible,"Paz, seguridad pública, nacional y defensa",10: Reducción de las desigualdades,Estados Unidos,USAID
COL019,2017,Veedores ciudadanos – control social participativo,Participación política y sociedad civil,"16: Paz, justicia e instituciones solidas",Estados Unidos,USAID
COL020,2017,Fortalecimiento de capacidades para la planeación integral del territorio,Fortalecimiento de instituciones y políticas publicas,"16: Paz, justicia e instituciones solidas",Estados Unidos,USAID
COL021,2017,Presupuestos participativos para la construcción de paz,Gestión de finanzas publicas,"16: Paz, justicia e instituciones solidas",Estados Unidos,USAID
COL022,2017,Intercambio de conocimientos en vías terciarias “Generando caminos para la Paz”,"Paz, seguridad pública, nacional y defensa","9: Industria, innovación e infraestructura",Estados Unidos,USAID
COL023,2018,"Intercambio de saberes y experiencias en materia de turismo comunitario Quibdó, Nuquí y Bahía Solano (Chocó)",Turismo,14: Vida submarína,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID
COL024,2018,Artesanos Tejedores de Paz – La Resiliencia como apuesta en el emprendimiento artesanal.,"Paz, seguridad pública, nacional y defensa",11: Ciudades y comunidades sostenibles,Estados Unidos,USAID
COL025,2018,Fortalecimiento de capacidades de gestión a las Juntas de Acción Comunal para la realización de Pequeñas Obras de Infraestructura Comunitaria (PIC),Fortalecimiento de instituciones y políticas publicas,"16: Paz, justicia e instituciones solidas",Estados Unidos,USAID
COL026,2018,Empoderamiento de mujeres víctimas como una apuesta a la construcción de paz en los territorios,"Paz, seguridad pública, nacional y defensa",5: Igualdad de género,Estados Unidos,USAID
COL027,2018,"Estrategia de gestores de paz y cultura ciudadana, Santiago de Cali.","Paz, seguridad pública, nacional y defensa",10: Reducción de las desigualdades,,
COL028,2019,Fortalecimiento asociativo para organizaciones sociales comunitarias y productivas rurales en cacao y café,Participación política y sociedad civil,8: Trabajo decente y crecimiento económico,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID
COL029,2019,Hacia el cierre de brechas para la inclusión laboral,Empleo,1: Fin de la pobreza,Canadá,Embajada de Canadá
COL030,2019,"Transferencia de educación financiera rural con enfoque de género en el municipio de Segovia, departamento de Antioquia.",Educación,5: Igualdad de género,Canadá,Embajada de Canadá
COL031,2019,"La Etnoeducación, una estrategia pedagógica para leer el pasado y escribir el futuro",Educación,4: Educación de calidad,,
COL032,2019,"Planes, inventarios y categorización de vías terciarias",Construcción,"9: Industria, innovación e infraestructura",Estados Unidos,USAID
COL033,2020,"Modelo de atención humanizada, Mis Manos Te Enseñan y acciones de prevención y atención de violencias hacia niñas, niños y adolescentes en el marco de la emergencia Covid-19",Otros servicios y políticas sociales,"16: Paz, justicia e instituciones solidas",Multilateral,UNICEF
COL034,2020,Educación Inicial en el marco de la atención integral con enfoque territorial y acciones territoriales para garantizar el derecho/Atención integral en el marco del covid-19 (TAN 2),Educación,4: Educación de calidad,Multilateral,UNICEF
COL035,2020,"Fortalecimiento de capacidades de organizaciones étnico-territoriales, incidencia y construcción de paz.",Fortalecimiento de instituciones y políticas publicas,5: Igualdad de género,Alemania,GIZ
COL036,2020,Experiencias locales de coordinación y gestión de la cooperación internacional,Fortalecimiento de instituciones y políticas publicas,17: Alianzas para lograr los objetivos,Colombia,APC Colombia
COL037,2021,Compartiendo experiencias y aprendizajes alrededor de la cadena del café,Agropecuario,2: Hambre cero,Multilateral,FAO
COL038,2021,Comunidades Tejiendo redes para la conservación,Medioambiente,15: Vida de ecosistemas terrerstres,Multilateral,PNUD
COL039,2021,Apropiación comunitaria de sistemas de acueductos locales,Abastecimiento y saneamiento de agua,6: Agua limpia y saneamiento,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID
COL040,2021,Salud y Nutrición “Bien Nacer”: experiencias orientadas a la disminución del bajo peso al nacer (TAN 3),Salud,3: Salud y bienestar,Multilateral,UNICEF
COL041,2021,La Denominación de Origen como herramienta de desarrollo territorial,Otros servicios y políticas sociales,8: Trabajo decente y crecimiento económico,Suiza,Cooperación Suiza
COL042,2021,Diálogos e intercambios por la memoria,Cultura,"16: Paz, justicia e instituciones solidas",España,Agencia Española de Cooperación Internacional para el desarrollo - AECID
COL043,2021,Fortalecimiento de capacidades en la implementación del programa de alimentación escolar en contextos rurales dispersos y con enfoque diferencial,Otros servicios y políticas sociales,2: Hambre cero,Multilateral,Programa Mundial de Alimentos
COL044,2022,Encuentros Subregionales de Intercambios de Experiencias entre Organizaciones en Territorios PDET,Participación política y sociedad civil,"16: Paz, justicia e instituciones solidas",,
COL045,2022,Relacionamiento con el Sector Privado ¿Cómo se relacionan los Gobiernos de los Estados Unidos y Colombia con el sector privado?,Fortalecimiento de instituciones y políticas publicas,"16: Paz, justicia e instituciones solidas",Estados Unidos,USAID
COL046,2022,Semillas y acciones colaborativas para una mejor rendición de cuentas,Fortalecimiento de instituciones y políticas publicas,"16: Paz, justicia e instituciones solidas",Alemania,GIZ
COL047,2022,Acompañamiento psicosocial con enfoque feminista y centralidad en las víctimas.,Educación,5: Igualdad de género,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID
COL048,2022,"Participamos, incidimos y construimos: Niñas, niños y adolescentes diseñan parques infantiles en Inzá (TAN 4)",Participación ciudadana,11: Ciudades y comunidades sostenibles,Multilateral,UNICEF
COL049,2022,Acompañamiento jurídico feminista y con centralidad en las víctimas,Educación,5: Igualdad de género,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID
COL050,2022,¿Cómo fortalecer capacidades locales en administración de tierras a tráves de una oficina municipal?,Fortalecimiento organizacional,10: Reducción de las desigualdades,Estados Unidos,USAID
COL051,2022,Encuentro de intercambio de experiencias en Buenas Prácticas en gobernanza entre organizaciones de municipios PDET,Gobernanza de las organizaciones y de jóvenes de los municipios PDET,10: Reducción de las desigualdades,,
COL052,2022,Estrategia por la niñez: servicios de atención a la población migrante (TAN 5),"Prevención de Violencias hacia niños, nñas y adolesscentes","16: Paz, justicia e instituciones solidas",Multilateral,UNICEF
COL053,2022,"Estrategias de Recuperación Emocional y Acompañamiento a la Reparación Integral, como fortalecmiento a la política pública de víctimas en la implementación y acceso a las medidas de la reparación simbólica",Construcción de Paz,"16: Paz, justicia e instituciones solidas",Alemania,GIZ
COL054,2023,Estrategias de incidencia y comunicación comunitaria para la prevención de VBG,Género,5: Igualdad de género,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID
COL055,2023,"Implementación del enfoque de género y el fortalecimiento de dependencias especializadas en el tema de género, con mirada la construcción de un trabajo de interlocución y articulación",Género,5: Igualdad de género,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID
COL056,2023,"La Denominación de Origen, al corazón del desarrollo turístico",Turismo,11: Ciudades y comunidades sostenibles,Suiza,Embajada Suiza
COL057,2023,Gestión pública transparente y participativa para la construcción de paz con enfoque de género,Fortalecimiento de instituciones y políticas publicas,5: Igualdad de género,Alemania,GIZ
COL058,2023,"Reflexión Colaborativa para la modelación de sistemas de alerta temprana, ordenamiento territorial y desarrollo de capacidades para la gestión integral del riesgo",Gestión de desastres,"9: Industria, innovación e infraestructura",Reino Unido,GOAL
COL059,2023,Buenas prácticas en la implementación de las casas de acogida para la mejora de la atención y protección de mujeres y niñas víctimas de VBG,Género,5: Igualdad de género,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID
COL060,2023,Relacionamiento Interinstitucional con enfoque de género,Educación,5: Igualdad de género,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID
COL061,2023,Fortalecimiento a la gobernanza territorial en organizaciones de jóvenes con enfoque étnico,"Paz, seguridad pública, nacional y defensa","16: Paz, justicia e instituciones solidas",Italia,COSPE
COL062,2024,Experiencias y prácticas de jóvenes en la construcción de paz para el desarrollo municipal,Participación política y sociedad civil,"16: Paz, justicia e instituciones solidas",Alemania,GIZ
COL063,2024,"Palabra dulce – tejido sano: encuentro para tejernos y cuidar la vida en el diálogo intercultural entre pensamiento indígena con los pueblos Nassa, Barí, Koreguaje, Murui Muina e Ingas e instituciones públicas","Paz, seguridad pública, nacional y defensa","16: Paz, justicia e instituciones solidas",Alemania,GIZ
COL064,2024,Acceso a la justicia temprana,Género,5: Igualdad de género,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID
COL065,2024,Economía circular en la gestión de municipios y ciudades - caso orgánicos,Fortalecimiento de instituciones y políticas publicas,11: Ciudades y comunidades sostenibles,Alemania,GIZ
COL066,2024,Experiencias de incidencia de NNAJ en cambio climático,Medioambiente,13: Acción por el clima,Multilateral,UNICEF
COL067,2024,Gestión del conocimiento para la implementación de sistemas de cuidado en el país,Género,5: Igualdad de género,Multilateral,Banco Interamericano de Desarrollo - BID
COL068,2025,Territorios que cuidan: diálogos entre saberes comunitarios y voces de la niñez hacia la acción fronteriza,Desarrollo legal y judicial y DDHH,10: Reducción de las desigualdades,,
COL069,2025,Oportunidades que conectan territorios: cooperación internacional al alcance local,Fortalecimiento de instituciones y políticas publicas,"16: Paz, justicia e instituciones solidas",,
COL070,2025,"Sustitución de cultivos de uso ilícito - Programa RenHacemos: Asociatividad, gerencia rural y negocios verdes del cacao para la construcción de paz","Paz, seguridad pública, nacional y defensa",12: Producción y consumo responsables,Multilateral,UNODC
COL071,2025,Rutas que cuentan historias: “Saberes y memorias compartidas desde el turismo comunitario”,"Paz, seguridad pública, nacional y defensa",10: Reducción de las desigualdades,Alemania,GIZ
COL072,2025,Saberes que Transforman: Intercambio de Conocimientos en iniciativas productivas con enfoque en Negocios Verdes para la Sostenibilidad y Desarrollo Rural en torno a la cadena de valor de café para las comunidades del Programa RenHacemos.,"Paz, seguridad pública, nacional y defensa",12: Producción y consumo responsables,Multilateral,UNODC
COL073,2026,"Juventudes que tejen cultura de paz: redes, economías populares y transformación territorial para la prevención de las violencias","Paz, seguridad pública, nacional y defensa","16: Paz, justicia e instituciones solidas",Alemania,GIZ
COL074,2026,Financiación Basada en Resultados como buena práctica para mejorar la eficiencia del gasto público y la movilización de recursos para el desarrollo territorial,Fortalecimiento de instituciones y políticas publicas,"16: Paz, justicia e instituciones solidas",Multilateral,Banco Interamericano de Desarrollo
